Wavelength,Smoothed Spectrum,Error
268.4,4.45222E-02,8.93716E-02
268.2,4.37231E-02,1.14983E-01
268,4.62776E-02,1.21055E-01
267.8,4.8828E-02,1.19018E-01
267.6,5.61923E-02,1.01138E-01
267.4,6.13419E-02,1.00447E-01
267.2,6.22701E-02,1.04776E-01
267,6.32282E-02,8.49699E-02
266.8,6.24013E-02,5.31534E-02
266.6,5.95003E-02,4.26273E-02
266.4,5.74932E-02,4.33592E-02
266.2,5.66428E-02,6.31811E-02
266,5.48818E-02,7.42932E-02
265.8,5.53017E-02,9.56812E-02
265.6,5.74342E-02,8.21654E-02
265.4,5.79565E-02,5.99538E-02
265.2,5.8398E-02,8.29163E-02
265,5.93379E-02,1.14703E-01
264.8,5.87571E-02,8.66474E-02
264.6,6.14216E-02,1.02322E-01
264.4,6.4111E-02,7.36657E-02
264.2,6.59259E-02,6.68918E-02
264,7.13334E-02,8.55181E-02
263.8,7.67224E-02,3.58773E-02
263.6,8.45723E-02,5.80053E-02
263.4,9.28898E-02,5.09817E-02
263.2,9.6744E-02,8.22684E-02
263,1.02835E-01,8.80093E-02
262.8,1.10311E-01,5.21504E-02
262.6,1.19196E-01,2.89253E-02
262.4,1.31389E-01,3.74755E-02
262.2,1.44056E-01,7.9987E-02
262,1.54653E-01,1.12799E-01
261.8,1.64978E-01,1.10765E-01
261.6,1.74343E-01,1.42043E-01
261.4,1.80822E-01,1.36283E-01
261.2,1.8357E-01,1.38156E-01
261,1.84016E-01,1.00153E-01
260.8,1.83309E-01,1.10072E-01
260.6,1.81649E-01,1.35083E-01
260.4,1.80276E-01,1.44191E-01
260.2,1.79303E-01,1.49537E-01
260,1.77973E-01,1.06088E-01
259.8,1.73434E-01,7.82582E-02
259.6,1.65529E-01,8.50871E-02
259.4,1.53618E-01,1.29494E-01
259.2,1.39284E-01,1.45999E-01
259,1.27159E-01,1.15108E-01
258.8,1.18303E-01,1.11466E-01
258.6,1.11721E-01,1.30351E-01
258.4,1.02574E-01,1.24892E-01
258.2,9.39592E-02,1.01898E-01
258,8.27826E-02,7.85297E-02
257.8,6.83525E-02,5.9404E-02
257.6,5.45673E-02,8.57959E-02
257.4,3.91464E-02,5.80807E-02
257.2,2.28673E-02,2.69738E-02
257,1.10038E-02,5.92428E-02
256.8,-1.51505E-03,7.28704E-02
