Generic               ,NfsA_buffer E_0p1mm#003001.gen,,,,,
Date                  ,2018-11-26T20:14:00,,,,,
Low Wavelength        ,180,,,,,
High Wavelength       ,300,,,,,
Interval (nm)         ,0.2,,,,,
Machine               ,J715,,,,,
Smoothing window      ,31,,,,,
Units                 ,mdeg,,,,,
Zeroed between        ,263,300,,,,
Baselines             ,blank_buffer E_0p1mm#004001.txt::blank_buffer E_0p1mm#004002.txt::blank_buffer E_0p1mm#004003.txt::blank_buffer E_0p1mm#004004.txt::blank_buffer E_0p1mm#004005.txt,,,,,
Samples               ,NfsA_buffer E_0p1mm#003001.txt::NfsA_buffer E_0p1mm#003002.txt::NfsA_buffer E_0p1mm#003003.txt::NfsA_buffer E_0p1mm#003004.txt::NfsA_buffer E_0p1mm#003005.txt,,,,,
289.4,2.44303E-02,2.42578E+02,-8.45444E-03,3.352E-01,6.05568E-02,1.4022E-01
289.2,-4.42917E-02,2.42642E+02,-1.69609E-02,3.342E-01,1.02798E-01,1.13916E-01
289,-1.1151E-01,2.42707E+02,-2.34187E-02,3.32E-01,1.27854E-01,8.63903E-02
288.8,-1.45632E-01,2.42752E+02,-2.87623E-02,3.302E-01,1.36433E-01,8.21791E-02
288.6,-9.72377E-02,2.42793E+02,-3.65001E-02,3.344E-01,1.26032E-01,5.42748E-02
288.4,-2.95037E-02,2.42835E+02,-4.51103E-02,3.434E-01,1.25629E-01,5.24956E-02
288.2,2.39563E-02,2.42877E+02,-5.5867E-02,3.506E-01,9.31671E-02,6.12547E-02
288,4.45723E-02,2.42926E+02,-6.37111E-02,3.58E-01,6.11246E-02,7.23563E-02
287.8,4.12228E-03,2.42984E+02,-6.84836E-02,3.744E-01,7.27938E-02,7.79342E-02
287.6,-7.42017E-02,2.43041E+02,-7.02761E-02,3.91E-01,7.86305E-02,1.02309E-01
287.4,-1.3228E-01,2.43088E+02,-7.08011E-02,4.062E-01,1.12925E-01,9.70035E-02
287.2,-1.51454E-01,2.43136E+02,-7.15994E-02,4.19E-01,9.6021E-02,8.56979E-02
287,-1.60468E-01,2.4318E+02,-7.25422E-02,4.24E-01,9.03641E-02,4.55955E-02
286.8,-1.13636E-01,2.43232E+02,-7.29015E-02,4.272E-01,7.69668E-02,4.84991E-02
286.6,-9.81757E-02,2.43276E+02,-6.82618E-02,4.286E-01,1.07614E-01,8.75179E-02
286.4,-6.84517E-02,2.43331E+02,-6.32958E-02,4.302E-01,8.08783E-02,9.10192E-02
286.2,-2.91797E-02,2.43379E+02,-5.93138E-02,4.262E-01,5.86357E-02,6.41468E-02
286,-3.41557E-02,2.4343E+02,-5.74372E-02,4.246E-01,2.07122E-02,6.49843E-02
285.8,-3.36517E-02,2.43478E+02,-5.78537E-02,4.262E-01,7.5296E-02,5.54996E-02
285.6,-3.93117E-02,2.43526E+02,-6.09369E-02,4.32E-01,7.71E-02,3.79991E-02
285.4,-1.51877E-02,2.43574E+02,-6.14258E-02,4.376E-01,8.02993E-02,5.66758E-02
285.2,1.76763E-02,2.4362E+02,-5.88452E-02,4.484E-01,7.30602E-02,5.75252E-02
285,1.54228E-03,2.43675E+02,-5.23337E-02,4.584E-01,6.75312E-02,5.84843E-02
284.8,-3.82517E-02,2.43724E+02,-4.45635E-02,4.59E-01,6.92812E-02,6.19399E-02
284.6,-6.12697E-02,2.43781E+02,-3.51782E-02,4.724E-01,8.10442E-02,8.30395E-02
284.4,-5.84697E-02,2.43839E+02,-2.76718E-02,4.874E-01,1.17306E-01,7.21846E-02
284.2,-9.54717E-02,2.4389E+02,-2.20676E-02,5.052E-01,1.20683E-01,6.99331E-02
284,-5.96717E-02,2.43944E+02,-1.46535E-02,5.204E-01,9.19043E-02,6.76197E-02
283.8,-3.03397E-02,2.43993E+02,-9.06666E-03,5.316E-01,4.96555E-02,6.67036E-02
283.6,-5.49637E-02,2.44044E+02,-6.90528E-03,5.34E-01,6.62718E-02,4.80405E-02
283.4,-4.92772E-03,2.44088E+02,-5.98034E-03,5.282E-01,9.60604E-02,3.2416E-02
283.2,5.86828E-03,2.44131E+02,-5.87156E-03,5.244E-01,8.621E-02,5.35185E-02
283,1.52323E-02,2.44181E+02,-6.18012E-03,5.198E-01,4.33353E-02,8.71682E-02
282.8,7.12228E-03,2.44222E+02,-2.8807E-03,5.204E-01,4.72779E-02,9.06636E-02
282.6,2.21643E-02,2.44273E+02,2.69405E-04,5.23E-01,5.7885E-02,7.33725E-02
282.4,1.16643E-02,2.44321E+02,1.58396E-03,5.282E-01,2.9837E-02,5.15049E-02
282.2,2.80943E-02,2.44358E+02,3.65742E-03,5.342E-01,5.12254E-02,5.97062E-02
282,3.45363E-02,2.44408E+02,8.8764E-03,5.4E-01,4.27506E-02,6.89385E-02
281.8,8.32883E-02,2.44448E+02,1.57286E-02,5.572E-01,6.50026E-02,9.77548E-02
281.6,6.45123E-02,2.44486E+02,2.26355E-02,5.678E-01,5.49517E-02,6.71658E-02
281.4,5.44063E-02,2.44533E+02,2.79911E-02,5.754E-01,9.55266E-02,4.19722E-02
281.2,3.59163E-02,2.44566E+02,3.17016E-02,5.9E-01,1.1803E-01,7.64935E-02
281,-5.26077E-02,2.4461E+02,3.04797E-02,5.974E-01,1.44919E-01,7.88981E-02
280.8,-8.20537E-02,2.44661E+02,3.02994E-02,6.112E-01,1.8681E-01,1.02006E-01
280.6,-1.20197E-02,2.44705E+02,3.13617E-02,6.214E-01,1.47009E-01,1.17709E-01
280.4,3.46028E-03,2.44762E+02,3.24822E-02,6.266E-01,1.04812E-01,9.84194E-02
280.2,3.77223E-02,2.44813E+02,3.71334E-02,6.224E-01,8.98314E-02,9.35559E-02
280,9.72763E-02,2.44869E+02,4.37299E-02,6.132E-01,2.98575E-02,7.11792E-02
279.8,3.22583E-02,2.44932E+02,4.86358E-02,6.078E-01,4.04882E-02,7.1721E-02
279.6,3.79723E-02,2.44997E+02,5.21969E-02,5.992E-01,6.27747E-02,8.73329E-02
279.4,7.68503E-02,2.45077E+02,5.5843E-02,5.998E-01,6.86702E-02,8.03962E-02
279.2,1.0351E-01,2.45156E+02,5.53025E-02,6.054E-01,8.82995E-02,1.04367E-01
279,1.0058E-01,2.45239E+02,5.53873E-02,6.096E-01,6.79895E-02,8.8638E-02
278.8,7.61683E-02,2.45321E+02,5.75685E-02,6.178E-01,7.36529E-02,8.32417E-02
278.6,4.01903E-02,2.45399E+02,6.33597E-02,6.208E-01,6.14431E-02,6.37717E-02
278.4,3.56583E-02,2.45473E+02,7.00106E-02,6.286E-01,2.28632E-02,7.38159E-02
278.2,5.61723E-02,2.45554E+02,7.64548E-02,6.456E-01,6.60311E-02,7.86919E-02
278,1.0784E-01,2.45633E+02,8.20602E-02,6.536E-01,7.88638E-02,8.46177E-02
277.8,1.15184E-01,2.45715E+02,8.21184E-02,6.64E-01,5.59592E-02,9.61068E-02
277.6,1.2086E-01,2.45797E+02,7.8328E-02,6.708E-01,4.05803E-02,6.43745E-02
277.4,9.04703E-02,2.45868E+02,7.62648E-02,6.666E-01,6.23541E-02,3.79624E-02
277.2,5.40783E-02,2.45943E+02,7.23053E-02,6.674E-01,1.03289E-01,6.01647E-02
277,5.83628E-03,2.46016E+02,6.93628E-02,6.674E-01,1.24586E-01,5.50529E-02
276.8,2.98823E-02,2.46085E+02,6.91545E-02,6.49E-01,1.00035E-01,2.68301E-02
276.6,3.37523E-02,2.46156E+02,6.51802E-02,6.344E-01,1.13025E-01,5.39343E-02
276.4,3.25163E-02,2.46226E+02,6.15674E-02,6.34E-01,1.00379E-01,9.0535E-02
276.2,1.05044E-01,2.46303E+02,5.88113E-02,6.284E-01,9.13132E-02,8.29774E-02
276,1.18958E-01,2.46375E+02,5.76617E-02,6.344E-01,8.13121E-02,8.38026E-02
275.8,9.25903E-02,2.46456E+02,6.08329E-02,6.482E-01,5.88075E-02,1.13591E-01
275.6,7.87763E-02,2.46537E+02,6.43566E-02,6.526E-01,5.98899E-02,1.10101E-01
275.4,5.20983E-02,2.46612E+02,6.57868E-02,6.668E-01,3.22806E-02,7.39169E-02
275.2,4.63203E-02,2.46677E+02,6.71153E-02,6.792E-01,4.23893E-02,6.23669E-02
275,3.84963E-02,2.46746E+02,6.66243E-02,6.884E-01,6.5517E-02,8.97799E-02
274.8,3.84703E-02,2.4682E+02,6.72393E-02,7.012E-01,9.66274E-02,1.2268E-01
